Time,Sentiment
04-2020,0.6035141811706126
05-2020,0.4323229556533325
05-14-2020,0.6019035065546632
05-15-2020,0.3517777424616118
05-16-2020,0.42833413296223927
05-17-2020,0.35734480602497404
05-18-2020,0.37626253184862435
05-19-2020,0.0706535056233406
05-20-2020,0.3716070890513947
05-21-2020,0.3621301805910965
05-22-2020,0.5868247830291727
05-23-2020,0.3887901374138892
05-24-2020,0.25319992479952896
05-25-2020,0.16938753239810467
05-26-2020,0.6165673676878214
05-27-2020,0.3780513023448293
05-28-2020,0.48815600358848943
05-29-2020,0.6577273712712614
05-30-2020,0.3124990860039058
05-31-2020,0.595958001135538
06-01-2020,0.9978477954864502
06-02-2020,0.25865270405569496
06-03-2020,0.47753462491423954
06-04-2020,0.6531778885559603
06-05-2020,0.2729849861934781
06-06-2020,0.35104399601308006
06-07-2020,0.13752184342592955
06-08-2020,0.04693038761615753
06-09-2020,0.28767835070310094
06-10-2020,0.3637830618842456
